propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
1254;2400;0-100;0-100;301-400;101-200;0-100;0-100;101-200;0-100;0-100;>400;101-200;101-200;101-200;101-200;101-200;>400;101-200;101-200;101-200;201-300;>400;>400;101-200;101-200;0-100;101-200;101-200;>400;101-200;101-200;101-200;101-200;201-300;>400;>400;0-100;0-100;301-400;201-300;301-400;>400;301-400;101-200;>400;301-400;101-200;101-200;101-200;101-200;0-100;>400;0-100;301-400;>400;101-200;>400;201-300;301-400;>400;>400;>400;101-200;>400;>400;301-400;
1255;2400;0-100;201-300;301-400;0-100;201-300;101-200;0-100;101-200;201-300;301-400;0-100;0-100;101-200;0-100;101-200;>400;101-200;101-200;201-300;201-300;101-200;201-300;101-200;201-300;101-200;0-100;0-100;>400;0-100;201-300;0-100;301-400;0-100;201-300;>400;301-400;0-100;101-200;101-200;>400;301-400;301-400;101-200;0-100;301-400;101-200;201-300;>400;301-400;201-300;201-300;101-200;>400;>400;301-400;>400;201-300;201-300;>400;301-400;>400;0-100;>400;>400;201-300;
1256;2400;0-100;0-100;0-100;101-200;101-200;101-200;101-200;0-100;101-200;>400;0-100;101-200;101-200;0-100;101-200;201-300;301-400;0-100;101-200;0-100;>400;201-300;301-400;>400;101-200;101-200;301-400;0-100;0-100;>400;301-400;201-300;101-200;>400;201-300;201-300;301-400;>400;301-400;>400;>400;301-400;301-400;>400;301-400;301-400;101-200;0-100;>400;>400;>400;0-100;>400;>400;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;301-400;201-300;
1257;2400;0-100;0-100;0-100;0-100;201-300;0-100;0-100;0-100;0-100;>400;101-200;101-200;0-100;101-200;0-100;>400;201-300;0-100;0-100;0-100;101-200;>400;0-100;>400;0-100;101-200;>400;0-100;201-300;101-200;>400;0-100;0-100;>400;0-100;>400;0-100;0-100;0-100;>400;>400;>400;>400;301-400;301-400;301-400;>400;>400;>400;>400;>400;>400;>400;201-300;201-300;0-100;>400;>400;>400;0-100;201-300;>400;>400;>400;301-400;
1258;2400;0-100;101-200;101-200;0-100;101-200;0-100;101-200;>400;101-200;>400;101-200;101-200;0-100;>400;101-200;101-200;301-400;301-400;>400;101-200;201-300;201-300;0-100;>400;>400;301-400;101-200;>400;301-400;201-300;>400;>400;>400;301-400;101-200;>400;>400;301-400;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;
1259;2401;0-100;0-100;0-100;101-200;201-300;0-100;>400;101-200;201-300;>400;201-300;101-200;0-100;101-200;301-400;>400;0-100;0-100;301-400;201-300;301-400;0-100;0-100;>400;201-300;201-300;301-400;101-200;0-100;301-400;>400;>400;301-400;>400;0-100;>400;201-300;0-100;301-400;>400;>400;>400;0-100;>400;>400;0-100;301-400;>400;>400;0-100;>400;0-100;>400;301-400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1260;2403;0-100;0-100;301-400;101-200;0-100;0-100;101-200;0-100;0-100;>400;101-200;101-200;101-200;101-200;101-200;>400;101-200;201-300;101-200;201-300;>400;>400;201-300;101-200;0-100;>400;201-300;>400;101-200;101-200;101-200;0-100;101-200;>400;>400;0-100;0-100;301-400;201-300;>400;>400;201-300;101-200;>400;>400;101-200;0-100;101-200;101-200;0-100;>400;0-100;301-400;>400;101-200;>400;201-300;301-400;>400;>400;>400;201-300;>400;>400;301-400;
1261;2403;0-100;101-200;0-100;0-100;201-300;201-300;101-200;0-100;0-100;>400;101-200;201-300;0-100;0-100;101-200;301-400;>400;201-300;0-100;201-300;>400;201-300;101-200;301-400;201-300;0-100;201-300;201-300;301-400;0-100;201-300;>400;301-400;>400;101-200;0-100;0-100;301-400;>400;0-100;301-400;>400;301-400;>400;101-200;>400;101-200;101-200;101-200;>400;>400;>400;101-200;101-200;301-400;>400;>400;>400;201-300;301-400;>400;>400;>400;>400;>400;
1262;2403;0-100;101-200;301-400;201-300;101-200;201-300;0-100;0-100;101-200;>400;101-200;0-100;>400;0-100;201-300;>400;>400;>400;0-100;101-200;>400;>400;>400;101-200;201-300;201-300;201-300;201-300;201-300;201-300;0-100;301-400;0-100;201-300;101-200;>400;>400;201-300;>400;201-300;301-400;>400;101-200;>400;>400;>400;301-400;>400;>400;>400;201-300;0-100;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
1263;2403;0-100;201-300;0-100;101-200;101-200;>400;201-300;101-200;101-200;>400;101-200;101-200;101-200;101-200;101-200;>400;>400;101-200;301-400;>400;>400;101-200;201-300;101-200;>400;>400;0-100;101-200;301-400;0-100;>400;301-400;>400;>400;0-100;>400;101-200;101-200;>400;201-300;>400;>400;>400;>400;301-400;>400;>400;>400;301-400;301-400;>400;>400;301-400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1264;2403;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1265;2403;0-100;0-100;201-300;201-300;0-100;101-200;101-200;0-100;0-100;>400;201-300;0-100;201-300;101-200;201-300;>400;201-300;201-300;201-300;201-300;>400;>400;201-300;201-300;0-100;201-300;101-200;>400;201-300;201-300;201-300;201-300;201-300;>400;>400;>400;0-100;>400;201-300;301-400;>400;301-400;101-200;>400;301-400;201-300;201-300;201-300;201-300;0-100;>400;0-100;301-400;>400;201-300;>400;201-300;301-400;>400;>400;>400;201-300;>400;>400;301-400;
1266;2417;0-100;101-200;101-200;101-200;0-100;0-100;101-200;101-200;101-200;>400;0-100;101-200;101-200;0-100;101-200;301-400;301-400;101-200;101-200;301-400;101-200;101-200;101-200;101-200;101-200;101-200;101-200;201-300;101-200;201-300;101-200;>400;201-300;>400;301-400;0-100;201-300;>400;101-200;>400;>400;>400;>400;101-200;>400;>400;>400;201-300;>400;101-200;>400;>400;>400;301-400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;201-300;101-200;
1267;2419;201-300;101-200;301-400;301-400;0-100;>400;>400;>400;301-400;>400;301-400;0-100;>400;>400;>400;>400;301-400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1268;2419;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1269;2421;0-100;101-200;201-300;0-100;101-200;201-300;201-300;101-200;301-400;>400;201-300;>400;0-100;0-100;>400;201-300;201-300;0-100;201-300;>400;201-300;101-200;301-400;301-400;201-300;301-400;>400;>400;201-300;>400;>400;>400;101-200;201-300;301-400;201-300;>400;>400;>400;>400;301-400;>400;>400;>400;>400;201-300;301-400;>400;201-300;301-400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1270;2421;0-100;101-200;0-100;101-200;0-100;101-200;101-200;101-200;201-300;>400;101-200;101-200;201-300;101-200;301-400;101-200;>400;>400;301-400;101-200;>400;101-200;201-300;101-200;101-200;301-400;301-400;201-300;101-200;0-100;101-200;101-200;201-300;>400;>400;101-200;101-200;301-400;>400;301-400;>400;301-400;101-200;201-300;201-300;>400;201-300;201-300;101-200;>400;>400;0-100;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
1271;2421;101-200;101-200;101-200;101-200;301-400;>400;>400;101-200;201-300;>400;>400;101-200;301-400;>400;301-400;>400;>400;>400;301-400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;
1272;2430;0-100;101-200;0-100;101-200;301-400;0-100;0-100;0-100;201-300;>400;0-100;101-200;101-200;0-100;201-300;>400;>400;101-200;101-200;101-200;101-200;101-200;101-200;101-200;0-100;101-200;0-100;301-400;101-200;101-200;101-200;>400;301-400;>400;>400;>400;201-300;301-400;>400;201-300;0-100;201-300;301-400;>400;>400;>400;101-200;301-400;0-100;201-300;>400;101-200;201-300;201-300;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;
1273;2430;101-200;>400;0-100;201-300;101-200;101-200;101-200;101-200;0-100;>400;101-200;101-200;101-200;101-200;201-300;>400;>400;0-100;0-100;101-200;>400;101-200;101-200;101-200;201-300;101-200;201-300;301-400;101-200;101-200;101-200;>400;>400;>400;>400;301-400;101-200;201-300;>400;0-100;301-400;101-200;101-200;>400;>400;>400;301-400;101-200;0-100;101-200;>400;201-300;101-200;101-200;>400;>400;>400;>400;0-100;201-300;>400;>400;201-300;>400;>400;
1274;2434;0-100;0-100;301-400;101-200;101-200;201-300;0-100;0-100;101-200;>400;101-200;0-100;>400;0-100;201-300;>400;301-400;>400;0-100;101-200;>400;>400;201-300;101-200;201-300;201-300;201-300;201-300;201-300;201-300;0-100;301-400;0-100;201-300;101-200;>400;>400;201-300;>400;201-300;301-400;>400;101-200;>400;>400;>400;301-400;>400;>400;>400;201-300;0-100;>400;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
1275;2436;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1276;2440;0-100;101-200;101-200;101-200;101-200;101-200;0-100;101-200;201-300;>400;101-200;101-200;201-300;101-200;101-200;301-400;101-200;301-400;201-300;201-300;>400;101-200;0-100;201-300;201-300;201-300;201-300;201-300;0-100;101-200;101-200;101-200;101-200;>400;301-400;301-400;0-100;0-100;201-300;>400;>400;>400;201-300;>400;301-400;301-400;101-200;201-300;101-200;101-200;>400;301-400;301-400;>400;101-200;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;
1277;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1278;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1279;2440;0-100;101-200;101-200;0-100;101-200;101-200;0-100;101-200;101-200;>400;101-200;0-100;101-200;101-200;101-200;301-400;201-300;301-400;101-200;>400;>400;101-200;301-400;>400;>400;>400;201-300;>400;101-200;301-400;301-400;>400;0-100;201-300;301-400;301-400;>400;301-400;>400;301-400;>400;>400;301-400;>400;101-200;201-300;201-300;>400;101-200;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1280;2440;101-200;101-200;>400;101-200;101-200;101-200;0-100;0-100;201-300;101-200;0-100;0-100;101-200;201-300;101-200;301-400;201-300;101-200;101-200;201-300;201-300;101-200;101-200;101-200;101-200;0-100;101-200;>400;0-100;101-200;101-200;101-200;101-200;101-200;>400;101-200;101-200;101-200;201-300;301-400;101-200;201-300;101-200;201-300;301-400;301-400;201-300;>400;301-400;101-200;0-100;201-300;>400;>400;201-300;>400;201-300;301-400;>400;101-200;>400;201-300;>400;201-300;201-300;
1281;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1282;2440;101-200;101-200;0-100;301-400;0-100;101-200;0-100;0-100;201-300;>400;201-300;301-400;101-200;201-300;301-400;301-400;201-300;201-300;101-200;301-400;>400;301-400;301-400;>400;101-200;201-300;301-400;>400;>400;101-200;201-300;>400;>400;201-300;201-300;201-300;>400;>400;>400;>400;>400;301-400;101-200;>400;>400;>400;301-400;0-100;>400;301-400;>400;0-100;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;
1283;2440;0-100;0-100;0-100;201-300;101-200;101-200;101-200;101-200;201-300;>400;101-200;201-300;301-400;201-300;201-300;>400;>400;301-400;101-200;101-200;>400;301-400;301-400;101-200;101-200;301-400;301-400;0-100;301-400;0-100;301-400;>400;301-400;301-400;>400;101-200;101-200;301-400;201-300;101-200;301-400;>400;101-200;>400;>400;>400;>400;101-200;201-300;301-400;>400;101-200;>400;>400;>400;>400;>400;301-400;301-400;>400;>400;>400;>400;>400;>400;
1284;2440;0-100;0-100;101-200;0-100;201-300;0-100;0-100;0-100;201-300;301-400;0-100;0-100;101-200;0-100;101-200;101-200;0-100;0-100;0-100;101-200;>400;0-100;0-100;0-100;0-100;0-100;0-100;>400;0-100;301-400;0-100;0-100;0-100;201-300;0-100;0-100;0-100;101-200;>400;201-300;0-100;0-100;0-100;0-100;101-200;101-200;0-100;101-200;0-100;0-100;101-200;101-200;101-200;>400;101-200;>400;0-100;0-100;>400;>400;>400;0-100;>400;201-300;0-100;
1285;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1286;2440;201-300;201-300;101-200;201-300;301-400;>400;101-200;301-400;301-400;>400;>400;201-300;201-300;201-300;201-300;301-400;301-400;301-400;301-400;>400;301-400;301-400;101-200;201-300;0-100;201-300;>400;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;
1287;2440;0-100;0-100;101-200;0-100;101-200;>400;0-100;101-200;0-100;>400;101-200;0-100;101-200;201-300;201-300;201-300;101-200;101-200;101-200;301-400;0-100;>400;101-200;201-300;301-400;201-300;201-300;>400;101-200;>400;101-200;>400;0-100;201-300;301-400;>400;201-300;0-100;201-300;>400;201-300;>400;101-200;201-300;>400;101-200;0-100;>400;201-300;>400;101-200;101-200;>400;>400;>400;>400;201-300;301-400;>400;>400;>400;201-300;>400;>400;>400;
1288;2440;0-100;101-200;101-200;0-100;201-300;101-200;101-200;101-200;301-400;101-200;101-200;101-200;301-400;201-300;101-200;201-300;301-400;201-300;101-200;101-200;101-200;101-200;101-200;>400;201-300;201-300;101-200;>400;201-300;301-400;101-200;201-300;101-200;201-300;101-200;201-300;>400;101-200;301-400;101-200;>400;201-300;0-100;201-300;301-400;>400;201-300;>400;101-200;201-300;>400;101-200;301-400;301-400;201-300;0-100;201-300;>400;>400;>400;101-200;>400;301-400;>400;301-400;
1289;2440;0-100;0-100;0-100;0-100;101-200;0-100;0-100;0-100;0-100;>400;0-100;0-100;101-200;0-100;101-200;>400;>400;201-300;0-100;101-200;101-200;201-300;301-400;301-400;0-100;0-100;0-100;201-300;>400;0-100;201-300;>400;301-400;>400;301-400;101-200;101-200;>400;301-400;201-300;>400;101-200;0-100;101-200;>400;>400;301-400;101-200;201-300;>400;301-400;101-200;201-300;>400;>400;>400;201-300;>400;201-300;201-300;>400;>400;301-400;>400;>400;
1290;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1291;2440;101-200;0-100;301-400;201-300;0-100;0-100;101-200;0-100;0-100;>400;101-200;0-100;101-200;101-200;101-200;>400;201-300;101-200;101-200;201-300;>400;>400;201-300;101-200;0-100;201-300;201-300;>400;201-300;101-200;201-300;101-200;101-200;>400;>400;0-100;0-100;>400;201-300;301-400;>400;301-400;101-200;>400;>400;101-200;101-200;101-200;101-200;0-100;>400;0-100;301-400;>400;101-200;>400;201-300;301-400;>400;>400;>400;201-300;>400;>400;301-400;
1292;2440;101-200;101-200;301-400;101-200;>400;>400;101-200;201-300;301-400;>400;>400;101-200;301-400;201-300;>400;301-400;>400;301-400;>400;>400;101-200;101-200;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1293;2440;0-100;101-200;>400;101-200;101-200;201-300;101-200;301-400;101-200;>400;101-200;101-200;301-400;301-400;101-200;>400;101-200;201-300;301-400;301-400;>400;>400;101-200;301-400;101-200;201-300;201-300;201-300;101-200;301-400;301-400;>400;0-100;>400;301-400;>400;301-400;0-100;301-400;301-400;>400;>400;101-200;>400;>400;301-400;201-300;301-400;301-400;>400;201-300;101-200;201-300;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1294;2440;0-100;101-200;>400;101-200;201-300;101-200;0-100;0-100;201-300;201-300;0-100;101-200;101-200;201-300;201-300;301-400;201-300;201-300;101-200;101-200;201-300;101-200;201-300;201-300;101-200;0-100;0-100;>400;0-100;101-200;0-100;101-200;0-100;101-200;301-400;201-300;101-200;>400;201-300;301-400;101-200;201-300;101-200;>400;301-400;301-400;201-300;>400;301-400;101-200;>400;201-300;>400;>400;301-400;>400;301-400;301-400;>400;201-300;>400;201-300;>400;301-400;301-400;
1295;2440;101-200;0-100;101-200;301-400;201-300;201-300;201-300;0-100;>400;>400;201-300;>400;>400;>400;>400;>400;201-300;301-400;201-300;201-300;>400;201-300;301-400;201-300;301-400;201-300;0-100;0-100;>400;>400;301-400;>400;>400;>400;>400;101-200;201-300;301-400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;
1296;2440;301-400;0-100;201-300;>400;301-400;>400;>400;>400;301-400;>400;>400;301-400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1297;2440;0-100;101-200;0-100;0-100;201-300;201-300;201-300;101-200;0-100;>400;101-200;201-300;0-100;0-100;201-300;>400;101-200;201-300;101-200;301-400;>400;0-100;0-100;301-400;201-300;101-200;101-200;301-400;201-300;101-200;301-400;>400;>400;>400;0-100;>400;301-400;201-300;201-300;>400;>400;201-300;201-300;>400;>400;101-200;301-400;201-300;>400;0-100;>400;101-200;301-400;301-400;>400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;
1298;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1299;2440;0-100;101-200;201-300;0-100;101-200;201-300;0-100;201-300;0-100;>400;0-100;0-100;201-300;101-200;201-300;301-400;0-100;0-100;101-200;201-300;0-100;301-400;101-200;201-300;201-300;101-200;201-300;>400;0-100;301-400;0-100;>400;0-100;301-400;301-400;>400;201-300;0-100;201-300;>400;301-400;>400;0-100;101-200;>400;101-200;0-100;>400;301-400;>400;101-200;0-100;>400;>400;>400;>400;201-300;301-400;>400;>400;>400;101-200;>400;>400;301-400;
1300;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1301;2440;0-100;0-100;201-300;201-300;0-100;201-300;0-100;0-100;0-100;>400;101-200;101-200;201-300;201-300;101-200;201-300;101-200;201-300;101-200;201-300;>400;201-300;101-200;201-300;201-300;201-300;201-300;>400;101-200;>400;201-300;101-200;101-200;>400;101-200;201-300;201-300;101-200;>400;301-400;0-100;201-300;201-300;101-200;301-400;101-200;201-300;201-300;201-300;201-300;101-200;301-400;201-300;>400;201-300;>400;201-300;201-300;>400;>400;>400;101-200;>400;301-400;101-200;
1302;2440;101-200;201-300;101-200;301-400;301-400;301-400;201-300;101-200;101-200;>400;301-400;301-400;301-400;301-400;0-100;301-400;>400;201-300;>400;201-300;>400;>400;>400;>400;>400;301-400;>400;101-200;301-400;301-400;301-400;>400;>400;>400;301-400;101-200;>400;>400;301-400;>400;>400;>400;201-300;>400;>400;>400;301-400;>400;301-400;>400;301-400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;
